Timestamp,Ref,Weight,Number
3/8/23 15:45,Q17L05,0.003,NA
3/8/23 15:46,Q17L06,0.0014,NA
3/8/23 15:47,Q17L07,0.0442,NA
3/8/23 15:49,Q17L09,0.0037,NA
3/8/23 15:50,Q17L10,0,NA
3/8/23 16:23,K18L01,0,NA
3/8/23 16:24,K18L02,0.0761,NA
3/8/23 16:25,K18L03,0,NA
3/8/23 16:26,K18L04,0.0364,NA
3/8/23 16:27,K18L05,0.0073,NA
3/8/23 16:28,K18L06,0.3052,NA
3/8/23 16:29,K18L07,0.0367,NA
3/8/23 16:30,K18L08,0.0374,NA
3/8/23 16:31,K18L09,0.0011,NA
3/8/23 16:32,K18L10,0.069,NA
3/8/23 16:59,H15L01,0,NA
3/8/23 17:00,H15L02,0.0143,NA
3/8/23 17:00,P15L01,0,NA
3/8/23 17:01,H15L03,0.0052,NA
3/8/23 17:03,H15L01,0,NA
3/8/23 17:04,H15L02,0.0029,NA
3/8/23 17:04,H15L06,0,NA
3/8/23 17:05,H15L03,0,NA
3/8/23 17:06,H15L04,0.0205,NA
3/8/23 17:06,H15L08,0.0102,NA
3/8/23 17:07,H15L05,0,NA
3/8/23 17:08,H15L09,0,NA
3/8/23 17:08,H15L06,0.0439,NA
3/8/23 17:09,H15L07,0,NA
3/8/23 17:10,H15L10,0.049,NA
3/8/23 17:11,H15L09,0,NA
3/8/23 17:12,H15L10,0.0612,NA
3/8/23 17:13,H15L01,0.034,NA
3/8/23 17:15,H15L03,0.0318,NA
3/8/23 17:16,H15L01,0.0106,NA
3/8/23 17:17,H15L02,0.0565,NA
3/8/23 17:17,H15L05,0.0172,NA
3/8/23 17:18,H15L03,0.0034,NA
3/8/23 17:18,H15L07,0,NA
3/8/23 17:19,H15L04,0.0086,NA
3/8/23 17:20,H15L08,0,NA
3/8/23 17:20,H15L09,0.053,NA
3/8/23 17:21,H15L06,0.0035,NA
3/8/23 17:21,H15L10,0.0058,NA
3/8/23 17:22,H15L07,0.0012,NA
3/8/23 17:23,H15L08,0.0392,NA
3/8/23 17:24,H15L09,0.0546,NA
3/8/23 17:25,H15L10,0.0019,NA
3/8/23 19:01,P15L02,0.0191,NA
3/8/23 19:02,P15L03,0,NA
3/8/23 19:03,P15L04,0,NA
3/8/23 19:04,P15L05,0,NA
3/8/23 19:05,P15L06,0,NA
3/8/23 19:06,P15L07,0.0043,NA
3/8/23 19:07,P15L08,0.0587,NA
3/8/23 19:08,P15L09,0,NA
3/8/23 19:09,P15L10,0.004,NA
3/8/23 19:41,Q17L01,0,NA
3/8/23 19:42,Q17L02,0,NA
3/8/23 19:43,Q17L03,0.0234,NA
3/8/23 19:44,Q17L04,0,NA
3/8/23 19:45,Q17L05,0.0187,NA
3/8/23 19:46,Q17L06,0,NA
3/8/23 19:47,Q17L07,0.0471,NA
3/8/23 19:48,Q17L04,0.048,NA
3/8/23 19:49,Q17L09,0,NA
3/8/23 19:50,Q17L10,0,NA
3/8/23 20:24,K18L01,0,NA
3/8/23 20:32,K18L01,0,NA
3/8/23 20:33,K18L02,0.0028,NA
3/8/23 20:33,K18L04,0.0649,NA
3/8/23 20:34,K18L03,0,NA
3/8/23 20:36,K18L05,0,NA
3/8/23 20:37,K18L06,0.0144,NA
3/8/23 20:38,K18L07,0,NA
3/8/23 20:38,K18L07,0,NA
