Timestamp,Ref.,Weight,Number,,,
28/5/24 21:59,J15L10,0.7791,2,,,
28/5/24 21:37,L17L03,0.0013,2,,,
28/5/24 21:30,L17L07,0.0153,2,,,
28/5/24 17:37,J15L07,0.0033,4,,,
28/5/24 16:13,O18L09,0.0032,3,,,
28/5/24 17:43,J15L02,0.0045,2,,,
28/5/24 16:18,O18L04,0.0071,3,,,
28/5/24 16:20,O18L02,0.0125,1,,,
28/5/24 22:10,J15L03,0.0632,1,,,
28/5/24 16:15,O18L07,0.0591,8,,,
28/5/24 19:05,J13L06,0.0081,1,,,
28/5/24 15:00,J13L10,0.0072,5,,,
28/5/24 15:08,J13L03,0.0031,1,,,
28/5/24 17:38,J15L06,0.0301,1,,,
28/5/24 16:19,O18L03,0.1661,5,,,
28/5/24 16:16,O18L06,0.0272,2,,,
28/5/24 16:21,O18L01,0.003,2,,,
28/5/24 15:10,J13L01,0.002,1,,,
28/5/24 15:01,J13L09,0.0358,3,,,
28/5/24 15:06,J13L05,0.0062,1,,,
28/5/24 15:02,J13L08,0.00187,7,,,
28/5/24 17:42,J15L03,0,0,,,
28/5/24 19:01,J13L09,0,0,,,
28/5/24 19:09,J13L04,0,0,,,
28/5/24 19:10,J13L03,0,0,,,
28/5/24 20:04,O18L10,0,0,,,
28/5/24 19:14,J13L02,0,0,,,
28/5/24 21:25,L17L10,0,0,,,
28/5/24 17:40,J15L05,0,0,,,
28/5/24 20:08,O18L07,0.0011,1,,,
28/5/24 19:07,J13L05,0.0062,1,,,
28/5/24 22:01,J15L09,0,0,,,
28/5/24 20:10,O18L06,0,0,,,
28/5/24 21:27,L17L09,0,0,,,
28/5/24 15:09,J13L02,0,0,,,
28/5/24 16:14,O18L08,0,0,,,
28/5/24 16:17,O18L05,0,0,,,
28/5/24 21:29,L17L08,0,0,,,
28/5/24 21:33,L17L05,0,0,,,
28/5/24 22:04,J15L07,0,0,,,
28/5/24 16:12,O18L10,0.0026,1,,,
28/5/24 21:32,L17L06,0.0025,2,,,
28/5/24 15:04,J13L06,0.0125,2,,,
28/5/24 15:03,J13L07,0.0555,8,,,
28/5/24 19:16,J13L01,0.0011,1,,,
28/5/24 15:07,J13L04,0.0887,1,,,
28/5/24 22:06,J15L06,0,0,,,
28/5/24 20:56,L15L07,0,0,,,
28/5/24 22:09,J15L04,0,0,,,
28/5/24 21:02,L15L03,0,0,,,
28/5/24 20:51,L15L10,0,0,,,
28/5/24 22:02,J15L08,0,0,,,
28/5/24 21:04,L15L02,0,0,,,
28/5/24 20:59,L15L05,0,0,,,
28/5/24 20:57,L15L06,0,0,,,
28/5/24 20:12,O18L05,0,0,,,
28/5/24 20:16,O18L02,0.0007,1,,,
28/5/24 20:15,O18L03,0.0012,1,,,
28/5/24 20:18,O18L01,0.0074,1,,,
28/5/24 21:01,L15L04,0.0015,1,,,
28/5/24 20:05,O18L09,0.0185,2,,,
28/5/24 20:07,O18L08,0.0042,1,,,
28/5/24 21:05,L15L01,0.0199,2,,,
28/5/24 20:54,L15L08,0.0018,1,,,
28/5/24 20:13,O18L04,0.0022,1,,,
28/5/24 20:52,L15L09,0,0,,,
28/5/24 17:16,L17L02,0.0015,3,,,
28/5/24 22:07,J15L05,0,0,,,
28/5/24 22:14,J15L01,0.0203,1,,,
28/5/24 17:15,L17L03,0.0131,3,,,
28/5/24 17:17,L17L01,0.0026,7,,,
28/5/24 17:10,L17L07,0.0024,4,,,
28/5/24 17:09,L17L08,0.0131,2,,,
28/5/24 17:12,L17L05,0.0086,8,,,
28/5/24 17:36,J15L08,0,0,,,
28/5/24 17:34,J15L10,0.0074,8,,,
28/5/24 17:08,L17L09,0.0449,3,,,
28/5/24 17:44,J15L01,0,0,,,
28/5/24 16:45,L15L10,0,0,,,
28/5/24 17:41,J15L04,0,0,,,
28/5/24 17:35,J15L09,0,0,,,
28/5/24 16:51,L15L04,0.0103,3,,,
28/5/24 16:47,L15L08,0.0107,2,,,
28/5/24 16:53,L15L02,0,0,,,
28/5/24 16:52,L15L03,0,0,,,
28/5/24 17:07,L17L10,0.0092,2,,,
28/5/24 16:49,L15L06,0.0025,1,,,
28/5/24 16:48,L15L07,0.0058,9,,,
28/5/24 16:46,L15L09,0.0887,6,,,
28/5/24 17:11,L17L06,0.0028,3,,,
28/5/24 16:50,L15L05,0,0,,,
28/5/24 16:54,L15L01,0.0039,4,,,
28/5/24 17:13,L17L04,0.0009,1,,,
29/5/24 07:09,J13L04,0.0047,2,,,
29/5/24 10:09,J15L02,0,0,,,
29/5/24 07:13,J13L01,0,0,,,
29/5/24 09:35,L17L04,0,0,,,
29/5/24 10:07,J15L03,0,0,,,
29/5/24 09:59,J15L09,0,0,,,
29/5/24 10:05,J15L05,0,0,,,
29/5/24 07:07,J13L05,0,0,,,
29/5/24 08:57,L15L09,0,0,,,
29/5/24 07:05,J13L06,0,0,,,
29/5/24 07:02,J13L08,0,0,,,
29/5/24 09:02,L15L05,0,0,,,
29/5/24 08:58,L15L08,0,0,,,
29/5/24 10:01,J15L08,0,0,,,
29/5/24 09:58,J15L10,0,0,,,
29/5/24 10:06,J15L04,0,0,,,
29/5/24 07:00,J13L10,0.0585,6,,,
29/5/24 08:55,L15L10,0.7449,1,,,
29/5/24 09:05,L15L03,0.0283,2,,,
29/5/24 09:36,L17L03,0.0082,1,,,
29/5/24 10:02,J15L07,0.0005,2,,,
29/5/24 09:07,L15L02,0.0032,2,,,
29/5/24 09:08,L15L01,0.0096,3,,,
29/5/24 07:01,J13L09,0.0112,2,,,
29/5/24 07:12,J13L02,0.0068,1,,,
29/5/24 08:59,L15L07,0.0025,1,,,
29/5/24 09:01,L15L06,0.0357,1,,,
29/5/24 08:12,O18L09,0.0133,1,,,
29/5/24 07:10,J13L03,0.0019,4,,,
29/5/24 07:04,J13L07,0.0232,4,,,
29/5/24 08:10,O18L10,0.0283,2,,,
29/5/24 09:30,L17L07,0.0234,3,,,
29/5/24 08:24,O18L01,0.0021,1,,,
29/5/24 08:17,O18L06,0.0124,1,,,
29/5/24 09:32,L17L06,0.0399,2,,,
29/5/24 08:20,O18L04,0.0095,1,,,
29/5/24 09:39,L17L01,0.0063,6,,,
29/5/24 10:10,J15L01,0.0025,1,,,
29/5/24 08:15,O18L07,0.0034,2,,,
29/5/24 09:04,L15L04,0.0225,1,,,
29/5/24 08:18,O18L05,0.0258,2,,,
29/5/24 09:26,L17L10,0.0112,3,,,
29/5/24 09:27,L17L09,0.0029,1,,,
29/5/24 08:14,O18L08,0.0186,1,,,
29/5/24 10:03,J15L06,0.0032,1,,,
29/5/24 09:37,L17L02,0,0,,,
29/5/24 09:33,L17L05,0,0,,,
29/5/24 09:29,L17L08,0,0,,,
29/5/24 08:21,O18L03,0,0,,,
29/5/24 08:22,O18L02,0,0,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
