Timestamp,Ref.,Weight,Number,,,,,,
21/8/24 09:36,L17L04,0.0256,1,,,,,,
21/8/24 07:38,J15L10,0.0043,1,,,,,,
21/8/24 07:15,J13L03,0.0131,3,,,,,,
21/8/24 09:29,L17L10,0.0042,1,,,,,,
21/8/24 07:43,J15L07,0.0107,1,,,,,,
21/8/24 07:44,J15L06,0.0514,2,,,,,,
21/8/24 10:19,L15L05,1.5105,1,,,,,,
21/8/24 10:15,L15L09,0,0,,,,,,
21/8/24 10:17,L15L07,0,0,,,,,,
21/8/24 07:52,J15L01,0,0,,,,,,
21/8/24 07:50,J15L02,0,0,,,,,,
21/8/24 07:49,J15L03,0,0,,,,,,
21/8/24 07:05,J13L09,0,0,,,,,,
21/8/24 07:12,J13L05,0,0,,,,,,
21/8/24 07:17,J13L02,0,0,,,,,,
21/8/24 07:18,J13L01,0,0,,,,,,
21/8/24 07:41,J15L08,0,0,,,,,,
21/8/24 08:53,O18L08,0,0,,,,,,
21/8/24 08:58,O18L03,0,0,,,,,,
21/8/24 08:59,O18L02,0,0,,,,,,
21/8/24 08:55,O18L06,0,0,,,,,,
21/8/24 07:40,J15L09,0,0,,,,,,
21/8/24 10:16,L15L08,0,0,,,,,,
