Timestamp,Ref.,Weight,Number,,,,
25/9/24 09:12,Q17L08,0,0,,,,
25/9/24 10:11,Q17L09,0,0,,,,
25/9/24 10:13,D15L04,0,0,,,,
25/9/24 07:00,H15L10,0,0,,,,
25/9/24 07:04,H15L06,0,0,,,,
25/9/24 07:00,H15L09,0,0,,,,
25/9/24 09:13,Q17L07,0,0,,,,
25/9/24 09:16,Q17L04,0,0,,,,
25/9/24 07:05,H15L05,0,0,,,,
25/9/24 08:35,P15L04,0,0,,,,
25/9/24 09:10,Q17L10,0,0,,,,
25/9/24 08:32,P15L07,0,0,,,,
25/9/24 09:14,Q17L06,0,0,,,,
25/9/24 08:34,P15L05,0,0,,,,
25/9/24 10:15,D15L02,0,0,,,,
25/9/24 09:19,Q17L02,0,0,,,,
25/9/24 08:28,P15L09,0,0,,,,
25/9/24 07:40,K18L09,0,0,,,,
25/9/24 07:49,K18L03,0,0,,,,
25/9/24 10:14,D15L03,0,0,,,,
25/9/24 10:11,D15L05,0,0,,,,
25/9/24 07:09,H15L02,0,0,,,,
,,,,,,, 
