Timestamp,Ref,Weight,Number
24/8/23 17:02,H15L03,0.057,10
24/8/23 17:03,H15L04,0.0162,3
24/8/23 17:04,H15L05,0.0239,2
24/8/23 17:05,H15L06,0.025,4
24/8/23 17:06,H15L07,0.015,2
24/8/23 17:07,H15L08,0.0035,1
24/8/23 17:08,H15L09,0.0104,2
24/8/23 17:09,H15L10,0.0048,1
24/8/23 17:13,P15L09,0.0259,3
24/8/23 19:00,P15L01,0,0
24/8/23 19:01,P15L02,0.0027,1
24/8/23 19:03,P15L03,0.0942,3
24/8/23 19:04,P15L04,0,0
24/8/23 19:06,P15L05,0.0083,1
24/8/23 19:07,P15L06,0,0
24/8/23 19:08,P15L07,0,0
24/8/23 19:10,P15L08,0,0
24/8/23 19:11,P15L09,0.0054,1
24/8/23 19:12,P15L10,0.035,2
24/8/23 19:36,Q17L01,0,0
24/8/23 19:37,Q17L02,0,0
24/8/23 19:38,Q17L03,0,0
24/8/23 19:39,Q17L04,0,0
24/8/23 19:40,Q17L05,0,0
24/8/23 19:41,Q17L06,0,0
24/8/23 19:43,Q17L08,0,0
24/8/23 19:44,Q17L09,0,0
24/8/23 19:45,Q17L10,0,0
24/8/23 19:47,Q17L07,0,0
24/8/23 20:27,K18L01,0.0588,2
24/8/23 20:28,K18L02,0,0
24/8/23 20:30,K18L03,0,0
24/8/23 20:31,K18L04,0,0
24/8/23 20:33,K18L05,0,0
24/8/23 20:35,K18L07,0.0033,1
24/8/23 20:36,K18L08,0,0
24/8/23 20:38,K18L09,0,0
24/8/23 20:39,K18L10,0.0045,1
24/8/23 21:13,D15L01,0,0
24/8/23 21:14,D15L02,0,0
24/8/23 21:15,D15L03,0,0
24/8/23 21:16,D15L04,0.085,1
24/8/23 21:17,D15L05,0,0
24/8/23 21:18,D15L06,0,0
24/8/23 21:19,D15L07,0,0
24/8/23 21:20,D15L08,0,0
24/8/23 21:22,D15L09,0,0
24/8/23 21:23,D15L10,0.0024,1
24/8/23 21:30,H15L01,0.0055,1
24/8/23 21:31,H15L02,0,0
24/8/23 21:32,H15L03,0,0
24/8/23 21:33,H15L04,0,0
24/8/23 21:34,H15L05,0,0
24/8/23 21:35,H15L06,0,0
24/8/23 21:36,H15L07,0,0
24/8/23 21:37,H15L08,0,0
24/8/23 21:38,H15L09,0,0
24/8/23 21:39,H15L10,0,0
25/8/23 07:00,P15L01,0.0267,1
25/8/23 07:02,P15L02,0,0
25/8/23 07:03,P15L03,0,0
25/8/23 07:05,P15L04,0.0789,3
25/8/23 07:06,P15L05,0,0
25/8/23 07:08,P15L06,0,0
25/8/23 07:10,P15L07,0,0
25/8/23 07:11,P15L08,0.1135,1
25/8/23 07:12,P15L09,0,0
25/8/23 08:27,K18L01,0.0009,1
25/8/23 08:29,K18L02,0,0
25/8/23 08:30,K18L03,0,0
25/8/23 08:31,K18L04,0,0
25/8/23 08:33,K18L05,0.0333,3
25/8/23 08:34,K18L06,0.0209,1
25/8/23 08:35,K18L07,0,0
25/8/23 08:37,K18L08,0,0
25/8/23 08:38,K18L09,0,0
25/8/23 08:39,K18L10,0,0
25/8/23 09:06,D15L01,0,0
25/8/23 09:07,D15L02,0,0
25/8/23 09:08,D15L03,0.034,2
25/8/23 09:09,D15L04,0.0885,2
25/8/23 09:10,D15L05,0,0
25/8/23 09:11,D15L06,0.2302,4
25/8/23 09:12,D15L07,0.0005,1
25/8/23 09:13,D15L08,0.0524,2
25/8/23 09:15,H15L09,0,0
25/8/23 09:17,H15L10,0,0
25/8/23 09:21,H15L01,0.011,1
25/8/23 09:22,H15L02,0,0
25/8/23 09:23,H15L03,0.0094,1
25/8/23 09:24,H15L04,0,0
25/8/23 09:25,H15L03,0,0
25/8/23 09:26,H15L06,0.0499,2
