Timestamp,Ref.,Weight,Number,,,,,,,,,
23/1/24 16:56,L17L05,0.0029,3,,,,,,,,,
23/1/24 16:50,L17L07,0.0128,7,,,,,,,,,
23/1/24 17:26,J13L10,0.0078,3,,,,,,,,,
23/1/24 17:21,J13L06,0.0289,4,,,,,,,,,
23/1/24 16:14,O18L08,0.0060,2,,,,,,,,,
23/1/24 16:58,L17L02,0.0303,24,,,,,,,,,
23/1/24 16:18,O18L02,0.0015,1,,,,,,,,,
23/1/24 17:00,L17L01,0.0086,7,,,,,,,,,
23/1/24 16:11,O18L09,0.0001,1,,,,,,,,,
23/1/24 16:08,O18L06,0.0035,1,,,,,,,,,
23/1/24 16:52,L17L09,0.0019,2,,,,,,,,,
23/1/24 17:32,J13L02,0.0011,1,,,,,,,,,
23/1/24 17:28,J13L07,0.0077,1,,,,,,,,,
23/1/24 17:20,J13L04,0.0074,4,,,,,,,,,
23/1/24 13:43,J13L02,0.0000,0,,,,,,,,,
23/1/24 12:24,O18L03,0.0000,0,,,,,,,,,
