Timestamp,Ref.,Weight,Number,
21/11/23 20:21,L15L01,0.0133,4,
21/11/23 20:24,L15L06,0.0088,4,
21/11/23 20:25,L15L07,0.0043,3,
21/11/23 20:27,L15L08,0.0832,5,
21/11/23 20:30,L15L10,0.0044,2,
21/11/23 20:56,J13L05,0.0482,2,
21/11/23 20:57,J13L04,0.0000,0,
21/11/23 20:59,J13L03,0.0298,13,
21/11/23 21:01,J13L02,0.0000,0,
21/11/23 21:02,J13L01,0.0111,5,
21/11/23 21:05,J13L06,0.0000,0,
21/11/23 21:06,J13L07,0.0040,1,
21/11/23 21:08,J13L08,0.0238,1,
21/11/23 21:09,J13L09,0.0105,1,
21/11/23 21:11,J13L10,0.0000,0,
21/11/23 21:29,J15L05,0.0106,2,
21/11/23 21:30,J15L04,0.0087,2,
21/11/23 21:32,J15L03,0.0335,3,
21/11/23 21:35,J15L01,0.0000,0,
21/11/23 21:37,J15L06,0.0156,4,
21/11/23 21:39,J15L07,0.0000,0,
21/11/23 21:40,J15L08,0.0031,1,
21/11/23 21:42,J15L09,0.0000,0,
21/11/23 21:43,J15L10,0.0612,6,
21/11/23 21:53,J15L02,0.0000,0,
22/11/23 04:34,J15L06,0.0439,6,
22/11/23 07:00,O18L05,0.0401,2,
22/11/23 07:01,O18L04,0.0000,0,
22/11/23 07:02,O18L03,0.7584,9,
22/11/23 07:04,O18L02,0.0480,2,
22/11/23 07:05,O18L01,0.0372,2,
22/11/23 07:09,O18L06,0.0701,5,
22/11/23 07:10,O18L07,0.016,3,
22/11/23 07:12,O18L08,0.0556,8,
22/11/23 07:14,O18L09,2.3382,5,
22/11/23 07:15,O18L10,0.0331,11,
22/11/23 07:37,L17L05,0.0754,2,
22/11/23 07:38,L17L04,0.0752,2,
22/11/23 07:39,L17L03,0.0596,3,
22/11/23 07:43,L17L02,0.0712,4,
22/11/23 07:44,L17L01,0.0006,1,
22/11/23 07:48,L17L06,0.0467,3,
22/11/23 07:50,L17L07,0.0057,1,
22/11/23 07:51,L17L08,1.1366,10,
22/11/23 07:53,L17L09,0.0497,6,
22/11/23 07:54,L17L10,0.2871,2,
22/11/23 08:13,L15L05,0.0000,0,
22/11/23 08:16,L15L03,0.0490,5,
22/11/23 08:17,L15L02,0.0464,2,
22/11/23 08:18,L15L01,0.1586,5,
22/11/23 08:20,L15L04,0.0634,2,
22/11/23 08:23,L15L06,0.0540,4,
22/11/23 08:24,L15L07,0.0287,1,
22/11/23 08:26,L15L08,0.0509,2,
22/11/23 08:27,L15L09,0.0235,2,
22/11/23 08:28,L15L10,0.0000,0,
22/11/23 08:48,J13L05,0.1032,7,
22/11/23 08:52,J13L04,0.0899,2,
22/11/23 08:55,J13L03,0.0458,2,
22/11/23 08:57,J13L02,0.0000,0,
22/11/23 08:59,J13L01,0.0000,0,
22/11/23 09:00,J13L06,0.0000,0,
22/11/23 09:04,J13L07,0.0000,0,
22/11/23 09:05,J13L08,0.0388,32,
22/11/23 09:07,J13L09,0.0000,0,
22/11/23 09:08,J13L10,0.0355,2,
22/11/23 09:26,J15L05,0.1358,15,
22/11/23 09:27,J15L04,0.0244,2,
22/11/23 09:28,J15L03,0.1326,2,
22/11/23 09:30,J15L02,0.0201,1,
22/11/23 09:31,J15L01,0.0000,0,
22/11/23 09:35,J15L07,0.0388,2,
22/11/23 09:37,J15L08,0.0146,2,
22/11/23 09:38,J15L09,0.0000,0,
22/11/23 09:40,J15L10,0.0000,0,
